Sr No.,Disease,Typical Symptoms,Unique Symptom,Confirm Symptom ,Recommendations
1,Common Cold (Upper Respiratory Tract Infection),"Runny nose, sneezing, sore throat, cough, mild fever",Runny-nose,"Sneezing, Congestion, Sore-throat, Cough","Medications: paracetamol, cetirizine; Home remedy: rest, warm saline gargle, steam inhalation."
2,Influenza (Flu),"Fever, chills, body ache, fatigue, cough, sore throat",Body-ache,"Fever, Fatigue, Headache, Chills","Medications: paracetamol, antihistamine; Home remedy: rest, hydration, warm fluids."
3,COVID-19,"Fever, cough, loss of taste/smell, shortness of breath, fatigue",Loss-smell,"Fever, Dry-cough, Breathless, Fatigue","Medications: paracetamol, multivitamins; Home remedy: rest, fluids, steam inhalation."
4,Pneumonia,"High fever, cough, chest pain, difficulty breathing, wheezing",Rusty-mucus,"Fever, Cough, Breathless, Chest-pain","No OTC suggestion; seek clinician. Home remedy: rest, warm fluids."
5,Tuberculosis (TB),"Persistent cough, weight loss, night sweats, fever, loss of appetite",Blood-cough,"Night-sweats, Weight-loss, Fever, Chronic-cough","No OTC suggestion; seek clinician. Home remedy: nutritious diet, rest."
6,Asthma,"Wheezing, shortness of breath, chest tightness, coughing (especially at night)",Wheezing,"Breathless, Chest-tightness, Cough, Night-cough","Medications: prescribed inhaler only; Home remedy: avoid triggers, deep breathing exercises."
7,Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, shortness of breath, chest tightness, frequent respiratory infections",Barrel-chest,"Breathless, Cough, Mucus, Fatigue",No OTC suggestion; seek clinician.
8,Bronchitis (acute & chronic),"Cough, mucus, fatigue, mild fever, chest discomfort",Phlegm,"Chest-pain, Wheeze, Cough, Fatigue","Medications: paracetamol, cough syrup (dextromethorphan); Home remedy: steam inhalation, fluids."
9,Type 2 Diabetes Mellitus,"Increased thirst, frequent urination, fatigue, blurred vision, slow healing wounds",Frequent-urination,"Thirst, Fatigue, Hunger, Blurred-vision","No OTC suggestion; seek clinician. Home remedy: balanced diet, exercise."
10,Hypertension (High Blood Pressure),"Often asymptomatic, sometimes headache, dizziness, shortness of breath",Silent,"Headache, Dizziness, Nosebleed, Chest-pain","No OTC suggestion; seek clinician. Home remedy: low-salt diet, regular exercise."
11,Heart Disease / Ischemic Heart Disease,"Chest pain (angina), breathlessness, fatigue, palpitations",Angina,"Chest-pain, Fatigue, Breathless, Palpitations",No OTC suggestion; seek clinician.
12,Stroke,"Sudden numbness (face/arm/leg), trouble speaking, vision problems, dizziness",Face-droop,"Weakness, Slurred-speech, Dizziness, Paralysis",No OTC suggestion; seek clinician.
13,Arthritis (Osteoarthritis / Rheumatoid),"Joint pain, swelling, stiffness (especially morning), reduced joint mobility",Joint-swelling,"Joint-pain, Stiffness, Redness, Reduced-motion","Medications: paracetamol, topical NSAID gel; Home remedy: gentle stretching, warm compress."
14,Back Pain (Lower Back Pain),"Pain in lower back, stiffness, difficulty moving, sometimes radiating pain to legs",Lumbar-pain,"Stiffness, Muscle-spasm, Numbness, Tingling",No OTC suggestion; seek clinician.
15,Migraine / Tension Headache,"Severe headache, sensitivity to light/sound, nausea, throbbing pain",Aura,"Headache, Nausea, Sensitivity-light, Vomiting","Medications: paracetamol, ibuprofen; Home remedy: rest in dark room, hydration."
16,Anxiety Disorders,"Persistent worry, restlessness, fatigue, irritability, sleep problems",Restlessness,"Palpitations, Sweating, Worry, Trembling","No OTC suggestion; seek clinician. Home remedy: meditation, deep breathing."
17,Depression,"Persistent sadness, loss of interest, sleep changes, appetite changes, fatigue",Sadness,"Fatigue, Hopelessness, Sleep-change, Loss-interest","No OTC suggestion; seek clinician. Home remedy: counseling, physical activity."
